protocol,fct_sec,cdf
http1.1,1.3829,0.1
http1.1,1.4466,0.2
http1.1,1.4604,0.3
http1.1,1.6013,0.4
http1.1,1.8915,0.5
http1.1,2.079,0.6
http1.1,2.3234,0.7
http1.1,2.4405,0.8
http1.1,2.4517,0.9
http1.1,3.0623,1.0
http2,0.9183,0.1
http2,0.9207,0.2
http2,0.9406,0.3
http2,1.0709,0.4
http2,1.1087,0.5
http2,1.1488,0.6
http2,1.2208,0.7
http2,1.2286,0.8
http2,1.4503,0.9
http2,1.5564,1.0
http3,1.3185,0.1
http3,1.3186,0.2
http3,1.4124,0.3
http3,1.417,0.4
http3,1.5387,0.5
http3,1.6038,0.6
http3,1.6697,0.7
http3,1.9154,0.8
http3,3.085,0.9
http3,3.0953,1.0
